Organization Name,URL,Type
Triple Whale,/triplewhale,company
YNAB,/ynab,company
Spear AI,/spear-ai,company
Hugging Face H4,/HuggingFaceH4,company
Mirakl,/mirakl,company
Universal Grammar,/UGLabs,company
Hatch,/Hatchify,company
Aptedge,/aptedge,company
Ilmiya,/Ilmiya,company
Tenyx,/tenyx,company
it.lopez-be.ch,/lopezONE,company
Cohere For AI,/CohereForAI,community
Synopsys Inc.,/Synopsys,No Type Found
AMD,/amd,company
Trebuchet Network,/trebuchetnetwork,company
foxintelligence_hub,/foxtedbrun,company
DealerX Partners,/dealerx,company
mangoes AI,/mangoesai,company
LivePerson Inc.,/liveperson,company
Booth.ai,/booth-ai,company
OnTheGoSystems,/otgs,company
onlineformapro,/onlineformapro,company
Orange Business,/Orange-Business,company
"Infinite-Compute.com, LLC",/Infinite-Compute,company
Psych-UK Ltd,/PsychUK,company
PD4Solutions,/pd4solutions,company
Foony Limited,/Foony,company
Elise AI Technologies,/EliseAI,company
Subspace Network,/Subspace,company
Toyota Connected India,/TCIN,company
Griptape,/griptape,company
Haven Health Management,/MarketingHHM,company
Sparkle AI,/sparkleai,company
Omni Federal,/OmniFederal,company
PlayHT,/PlayHT,company
Starbourne Labs,/Starbourne,company
lecocqassociate,/lecocqassociate,company
Lokalise,/lokalise,company
Fast Medical AI,/fastmedical,company
Fidelity Investments,/FidelityInvestments,company
Giga ML,/GigaML,company
Prezi,/Prezi,company
Vera Solutions,/VeraSolutions,company
Knowledgehook,/Knowledgehook,company
Oscar Health,/OscarHealth,company
"Evercore, Inc.",/Evercore,company
LaconicAI,/LaconicAI,company
Bulldog,/getbulldogxyz,company
Drom Solutions KG,/marbles-run,company
Chegg Inc,/cheggllm,company
dx services,/dxs,community
Just Eat Takeaway.com,/JustEatTakeaway,company
goHappy,/gohappy,company
McKinney,/mckinney,company
Pelmorex Weather Networks Inc,/pelmorex,company
Travtus,/Travtus,company
Codepan,/Codepan,company
Tbilisi AI Lab,/tbilisi-ai-lab,non-profit
Xlscout Ltd,/xlscout-ai,company
r21ai,/r21ai,No Type Found
Enric AI,/enricai,company
"Preferred Networks, Inc.",/pfnet,company
ellamind,/ellamind,company
Daily,/daily-co,company
Sephora SEA,/SephoraSEA,company
Intenface,/intentface,company
Is Platforms Inc,/isplatforms,company
Confiant,/confiant,company
AiMavenAi,/AiMavenAi,company
metaQuirk,/metaQuirk,company
Nexusflow,/Nexusflow,company
ComptaSecure,/compta-secure,company
Northell Partners,/Northell,company
misterwhisperorg,/misterwhisperorg,company
informed,/informed,company
Citizens,/NextGenCitizens,company
Corporate Visions,/corporatevisions,company
Everest Systems,/everesterp,No Type Found
Taqtile,/taqtilebr,company
Board Security,/boardsec,company
Need Inc,/needinc,company
W4Labs,/W4Labs,company
Flatworld Solutions,/flatworld,company
Zero Systems,/zero-systems,company
SafeVideo AI,/safevideo,No Type Found
Olto,/Olto,company
IGES Institut GmbH,/IGES-Institut,company
GCX by Rightsify,/gcxrightsify,company
Fastelle_Tech_AB,/FastelleTech,company
Enterprise Explorers,/enterprise-explorers,community
SparkTD,/SparkTD,company
Graylark Technologies LLC,/Graylark-Technologies,company
"Planner5D, UAB",/planner5d,company
"Vera, Inc",/AskVera,company
Equal-IQ,/Equal-IQ,company
Brave Bison,/BraveBison,company
Yieldrive AG,/Yieldrive,company
Arcee AI,/arcee-ai,company
easybits,/EasyBits,company
Procter & Gamble,/ProcterGamble,company
Hugging Face TB Research,/HuggingFaceTB,community
Needle Digital,/needle-digital,company
Narya-ai,/Narya-ai,company
DataStax-Astra,/DataStax-Astra,company
Hyperion Gray LLC,/hyperiongray,company
Silex Data Solutions,/silexdata,company
Mindstix Software Labs Pvt. Ltd.,/Mindstix,company
Kurve Solutions,/KurveSol,company
Pure Gradient,/pgllc,company
True Trading Group,/TrueTradingGroup,company
Invisible Technologies,/Invisibletechnologies,company
NurtureAI,/NurtureAI,company
Believer,/Believers,company
otris software AG,/otris,company
Bixal Solutions Inc,/BixalSolutionsInc,company
Pureinsights,/pureinsights,company
Fremont Group,/fremontgroup,company
Fort Capital,/fort-capital,company
Chan Zuckerberg Initiative,/chanzuckerberg,non-profit
TrojAI,/TrojAI,company
Stiftung Wissenschaft und Politik,/swp-berlin-org,non-profit
Dhanvantari Solutions,/dsolutions,company
Prospective Media Services PMS AG,/prospective,company
Acuvity Inc,/acuvity,company
AIWizards.ai,/AIWizards,company
DataCo GmbH,/DataGuard,company
TulipAI,/TulipAICo,company
AIC AZ,/aicaz,company
TrustApp,/trustapp,company
StoreShippers,/Storeshippers,company
Enhanced Ai,/EnhancedAi,company
Brevan Howard,/brevanhoward,company
Supreme,/SupremeOpti,company
Virtuos-rnd,/Virtuos-rnd,company
Archer Learning Systems,/OkArcher,company
January AI,/january-ai,company
Formosissima Inc,/Formosissima-Inc,company
untukmu.ai,/untukmu-ai,company
Valence Engineering,/valence-eng,company
"HealthCorum, Inc.",/healthcorum,company
Augustine Consulting Inc,/ACIEdge,No Type Found
Sequoia,/sequoiacapital,company
Public Policy Group ETH Zurich,/PubPol,university
tendmill AB,/tendmill,company
Genomics England,/genomics-england,non-profit
RLAIF,/RLAIF,community
"Perisphere, Inc.",/perisphere,company
Higgsfield AI,/HiggsfieldAI,No Type Found
Standard Practice,/standard-practice,company
Lex Machina Inc,/lexmachina-inc,company
CabraVC One (Cyprus),/CabraVC,company
dori,/GetDori,company
Vanguard,/VanguardFintechVentures,company
DATAMOB,/datamob,company
H&H Communication Lab GmbH,/HHCommunicationLab,company
Voya Financial,/VoyaFinancial,company
FactSet,/FactSet,company
Marker Learning,/MarkerLearning,company
CreditRiskMonitor,/CreditRiskMonitor,company
Radial Therapeutics,/RadialTherapeutics,company
Goodby Silverstein & Partners,/Goodby,company
ST Engineering,/STEngineering,company
Ecosia,/Ecosia,company
Uber,/UberTechnologies,company
Propulse Lab,/PropulseLab,company
QUALITI,/qualitiai,company
VIQ Solutions,/VIQSolutions,company
Onehot Labs,/Onehot,company
Capital Fund Management,/CapitalFundManagement,company
AICollect,/AICollect,company
PayPro Global,/PayPro,company
Navigate360,/Navigate360,company
Intellinum,/Intellinum,company
GIC,/GICPrivateLimited,No Type Found
Ryght AI,/RyghtAI,company
Generation Investment Management,/GenerationInvestmentManagement,company
Air AI,/AirAILLC,company
Customs City,/CustomsCity,company
RYTE,/ryteai,company
Johnson & Johnson,/JohnsonandJohnson,company
Sanofi,/Sanofi,company
Lyrebird Studio Ltd,/LyrebirdStudio,company
Joblogic,/joblogic,company
Gifting Collab,/giftingcollab,company
Gizmo,/gizmo-ai,company
Creative Thinking Institute,/CTIRegenemmHealthcare,company
SB Intuitions,/sbintuitions,company
dreadnode,/dreadnode,company
Hypatos GmbH DE,/HypatosDE,company
Runway Group,/RunwayNWA,company
ammagamma,/ammagamma,No Type Found
AgroVision,/agrovision,company
Pandektes,/pandektes,company
